posted_at,tweet_id,in_reply_to_tweet_id,in_reply_to_user_id,user_id,user_name,user_screen_name,user_verified,tweet_text,retweets_no,likes,application_used,user_location,coordinates,user_timezone,follower_count,following_count,user_likes_no,lang,user_created
2017-09-26 12:22:11,912653527486517249,,,4851614681,Silas Brown ⚓🇺🇸,blazebandit2015,0,RT @TheLeftIsRacist: Lies! Its a protest (a stupid one) against everything this country represents\. Starting with our @POTUS\. These sissies…,328,0,http://twitter.com/download/android,"Maine, USA",,America/New_York,13014,7840,29937,en,2016-01-27 00:07:53
2017-09-26 12:22:11,912653526475603968,912494456582139904,2156560247,138655014,Kyle Love,Krlove1984,0,@hotkarls27 @realDonaldTrump @POTUS Zinggggggg,0,0,http://twitter.com/download/iphone,"Pittsburgh, PA",,,65,252,188,en,2010-04-30 05:08:25
2017-09-26 12:22:11,912653525590659072,,,781224642061172736,Joan Gagliardi,JoanGagliardi,0,"RT @SRuhle: While @potus critiques Puerto Rico's inability to repay their debts\, I wonder where his own biz would be if denied bankruptcy p…",318,0,http://twitter.com/download/android,,,,26,73,8602,en,2016-09-28 20:10:43
2017-09-26 12:22:10,912653522503643137,912631781098221568,25073877,712384818579906560,DocG👍😎👌BasedAlpha,GLBarricelli2,0,@realDonaldTrump Sorry @potus but #MAGA wants Judge Moore\. He is what you REALLY need in the Senate\.,0,0,http://twitter.com/download/android,"CannotCuckDocG, USA",,Pacific Time (US & Canada),1581,1400,9393,en,2016-03-22 21:05:51
2017-09-26 12:22:10,912653522503528448,912451004985044992,826144210462076929,730928530700173312,AgainstTrumpGA,AgainstTrumpGA,0,@RHart_York @YesforHillary @r_little_finger @jimmykimmel @SenatorCollins @POTUS @NFL We need a call for Trumps impeachment,0,0,http://twitter.com/download/iphone,,,Pacific Time (US & Canada),27,174,133,en,2016-05-13 01:11:56
2017-09-26 12:22:10,912653521325084672,912387958799572993,22170743,2717438867,Julie Richards,jjuulliieean,0,@Oxxee @CBSNews @POTUS The press has made sure of that and the sheep follow\.,0,0,https://mobile.twitter.com,Ohio,,,6,21,93,en,2014-07-19 04:24:07
2017-09-26 12:22:10,912653521022984195,,,758332364715986944,MerlinNewtonSr,MerlinNewtonSr,0,Crooked HRC why don't you go spend time with your grandkids u r no longer relevant\. U r the last  person @POTUS  wa… https://t\.co/njmARqMbJi,0,0,http://twitter.com/download/android,,,Pacific Time (US & Canada),2326,2794,21843,en,2016-07-27 16:04:59
2017-09-26 12:22:09,912653519274020864,,,35515778,edward woods,sundance7055,0,RT @GaetaSusan: This IS the FALSE Narrative the Left is putting out\. They will never ever see the TRUTH\. Their HATE for @POTUS is dividing…,527,0,https://mobile.twitter.com,,,,1688,2316,1236,en,2009-04-26 17:39:04
2017-09-26 12:22:09,912653518611369984,912487929783754755,25073877,862494074342842368,Little Dove,LDove3412,0,@realDonaldTrump @POTUS STOP YOUR HATEFUL TWEETING\. Grow UP!,0,0,http://twitter.com/download/iphone,United States,,Central Time (US & Canada),8,22,628,en,2017-05-11 02:26:26
2017-09-26 12:22:09,912653518347087875,,,881981004948398080,Essam Alomeisy,omeisy2017,0,"RT @HerryRodin: STOP profiting from #Yemen war\. Stop arming #Saudi and be humane @POTUS @theresa_may \- and you\, again #Houthi @Moh_Alhouthi…",1,0,http://twitter.com/download/android,,,,70,295,3992,en,2017-07-03 21:00:32
2017-09-26 12:22:08,912653514995847170,912651784673513474,10153432,275027359,KG Jr 💎🎧,KGrubbs,0,"@stuntbrain @CNN @MSNBC @POTUS @realDonaldTrump It took days\, Mike\. A few hours would have hardly been appropriate",0,0,http://twitter.com/download/iphone,"New Jersey, USA",,,449,1447,354,en,2011-03-31 13:56:46
2017-09-26 12:22:08,912653513813086209,912648929275269121,28161086,912445205193871361,Andrew Cain,AndrewC21347115,0,@roswell2001 @POTUS Please look inside yourself and look and listen to the nation\. I had such high hopes and the th… https://t\.co/7yVcIyl4UH,0,0,http://twitter.com/#!/download/ipad,,,,1,77,26,en,2017-09-25 22:34:24
2017-09-26 12:22:08,912653513389428736,,,1166595006,love always wins,sarinablkhrtNJ,0,RT @TheKingCenter: Humanitarian crisis in #PuertoRico\. Search the tag\. Learn more about it\. Our neighbors are in dire need\. @POTUS https://…,8,0,http://twitter.com/download/iphone,"Flemington, NJ",,Atlantic Time (Canada),390,564,10637,en,2013-02-10 18:13:20
2017-09-26 12:22:08,912653511506132992,912645757827780608,25916881,26804781,Texas Cop Cars,TexasCopCars,0,@MarkDavis Interesting that WFAA has no comment section after the article\. #DaleHansen is the racist in the room\. A… https://t\.co/Nd5krDii3p,0,0,http://twitter.com/download/iphone,Texas,,Central Time (US & Canada),15,105,133,en,2009-03-26 17:55:33
2017-09-26 12:22:07,912653510650601472,,,525414994,Martha C Muñoz Nuñez,nuez_martha,0,RT @VP: Saw firsthand today at @NASA why @POTUS' strong commitment to STEM ed is so important to future of our security &amp; economy\. https://…,701,0,http://twitter.com,,,,1827,1127,94392,en,2012-03-15 14:23:32
2017-09-26 12:22:07,912653509144776711,,,27943005,Lesley Abravanel,lesleyabravanel,1,We are saying ENOUGH but no one's listening because they can't hear it amidst the cacophony of a demented racist… https://t\.co/fwIJKyu9fC,0,0,http://twitter.com,"Florida, USA",,Eastern Time (US & Canada),22655,19819,19099,en,2009-03-31 19:34:24
2017-09-26 12:22:07,912653507718733825,,,768634199783960578,Ian Curtis,lostcontrol21,0,"RT @ChristieC733: ""Tremendous backlash against the NFL and its players for disrespect of our Country\."" @POTUS \\n\\n#StandForOurAnthem 🇺🇸\\n#Boyc…",781,0,http://twitter.com/#!/download/ipad,,,,124,48,11445,en,2016-08-25 02:20:48
2017-09-26 12:22:07,912653507429388288,,,833037209766858752,Rachel Barnes,maconrags,0,RT @Lrihendry: @POTUS is so right! \\nRT if you agree!  #NFL #BoycottAnythingNFL @realDonaldTrump https://t\.co/mQQamuDE6O,190,0,http://twitter.com/download/android,,,,141,97,20305,en,2017-02-18 19:35:22
2017-09-26 12:22:06,912653506674388993,,,37824544,Robert ﾒ'ㄎ,XsMagical,0,RT @Emolclause: U\.S Citizens in #PuertoRico SEEKING #HurricaneMaria relief\.@POTUS BIGGEST WORRY?\-#TakeAKnee \\n#TheResistance #CNN #MSNBC htt…,129,0,http://twitter.com,"Fort Myers, FL",,Eastern Time (US & Canada),357,482,352,en,2009-05-05 01:44:44
2017-09-26 12:22:06,912653506225504257,912540161791205376,2773918108,2317689248,Jeff,12voltman60,0,@TheMeemStreams @HarrellRyan1 @POTUS @AmericanHotLips @SKYRIDER4438 @hrenee80 @eissolomon11 @DonnaWR8… https://t\.co/hfc0uC27KF,0,0,http://twitter.com/download/android,"Louisiana, w/Alaska on my mind",,,3758,1132,49878,en,2014-01-29 19:35:24
2017-09-26 12:22:06,912653505009209345,912512012260921344,824030491045195776,786966210160099328,Edwin Spoonfagle,ESpoonfagle,0,"@pearl_of_truth @1untamedbrain @realDonaldTrump @POTUS No\, it doesn't\. And I've studied the Bible and that's why I… https://t\.co/HfxXn1Ibjd",0,0,http://twitter.com/download/iphone,,,,3,16,0,en,2016-10-14 16:25:40
2017-09-26 12:22:05,912653501032992768,,,327017753,Drain the Swamp,mis5ms,0,RT @Juliett25112759: @yidettettid1882 @micheleremonde2 @SadiqKhan @POTUS @Kimberlee373 @ebSnider @DeeGR8whiteluvr @mis5ms Yea yea! we know…,2,0,http://twitter.com/download/android,,,America/New_York,3588,3531,28919,en,2011-06-30 21:26:48
2017-09-26 12:22:05,912653499661537280,,,809479248,Deplorable Teresa,9047181311,0,RT @mikebwonder: You know what is odd\.\.\.  No one called our @POTUS racist until he won the election\.  Sounds like desperate attempts from t…,50,0,http://twitter.com/#!/download/ipad,florida ,,,5133,5117,43175,en,2012-09-07 19:47:38
2017-09-26 12:22:05,912653498944245760,,,267415036,Marie Hoffman,HoffmanMarie,0,RT @DonnaWR8: TAKE NOTE @NFL⬇️\\n\\nRespect Our FLAG\\nRespect Our VETS\\nRespect Our COUNTRY\\n\\nOR WE WONT RESPECT YOU! \\n\\n#NFL #MAGA @POTUS https://…,1558,0,http://twitter.com/download/iphone,,,,166,359,49,en,2011-03-16 22:35:04
2017-09-26 12:22:04,912653495995580416,,,865487761909833728,🐷💋ƤIƓLƐƬƬƐ 💋🐷,zaria_hart1,0,RT @tweet2u2: Evry judge voting agnst @realDonaldTrump #TravelBan has BLOOD on their hands @ #Antioch shooting @POTUS = #AmericaFirst DO NO…,115,0,http://twitter.com/download/iphone,"Queensland, Australia",,,2825,2758,47847,en,2017-05-19 08:42:17
2017-09-26 12:22:03,912653493596499969,,,763911555817742336,PVT Server Covfefe,Truth_Opotomous,0,"RT @ChristieC733: ""Tremendous backlash against the NFL and its players for disrespect of our Country\."" @POTUS \\n\\n#StandForOurAnthem 🇺🇸\\n#Boyc…",781,0,http://twitter.com/download/android,,,,2834,4964,12405,en,2016-08-12 01:34:42
2017-09-26 12:22:03,912653492241747971,,,808265609125523456,Chuks Ben,ChuksBen12,0,RT @NkirukaNistoran: H'Right activist in #Australia call on @realDonaldTrump @POTUS to stop the killing of Christian #Biafra by @MBuhari\\n\\nh…,3,0,http://twitter.com/download/android,Baifra,,,330,131,36104,en,2016-12-12 11:01:52
2017-09-26 12:22:02,912653487632257029,,,3395689149,Teresa Staab,staab_teresa,0,"RT @FoxNews: \.@Nigel_Farage: ""[@POTUS\] actually is standing up defending our Judeo\-Christian culture\."" #Tucker https://t\.co/Qe3CVENQtF",1110,0,http://twitter.com/download/iphone,,,,941,1869,12199,en,2015-07-30 16:11:03
2017-09-26 12:22:01,912653484801056768,912652293610332161,712308793082830849,327017753,Drain the Swamp,mis5ms,0,@Juliett25112759 @yidettettid1882 @micheleremonde2 @SadiqKhan @POTUS @Kimberlee373 @ebSnider @DeeGR8whiteluvr Lol,0,0,http://twitter.com/download/android,,,America/New_York,3588,3531,28919,und,2011-06-30 21:26:48
2017-09-26 12:22:00,912653481260937217,912574975197970432,839583843208294404,886408747018403840,#TrumpThatHate,TrumpThatHate,0,@JosephMarsilio1 @TerriGowin @dinmark2 @JudiB345 @perfectsliders @POTUS 😂😂😂😂😂😂😂😂,0,0,http://twitter.com/download/android,"Idaho, USA",,,1727,3372,6737,und,2017-07-16 02:14:48
2017-09-26 12:22:00,912653480237715458,,246500501,20610187,Douglas J. Turnbull,TurnbullDJTX,0,"@GeraldoRivera @foxandfriends I get the struggle in PR\,let's be honest\, where is the Gov't of PR? Don't dump on @POTUS lap\. Plan? Talk cheap",0,0,http://twitter.com/download/iphone,"Friendswood, Texas",,Central Time (US & Canada),1547,2123,5390,en,2009-02-11 18:43:26
2017-09-26 12:21:59,912653474575331328,912431719785037824,823367015830323201,831525159978811394,Karen Jones,wittyWatchOwl,0,@Scavino45 @IvankaTrump @realDonaldTrump @POTUS @WhiteHouse @PressSec @SecretaryAcosta @usedgov @RajShah45… https://t\.co/r5rrPHB6n4,0,0,http://twitter.com/download/iphone,United States,,Eastern Time (US & Canada),566,1050,4375,en,2017-02-14 15:27:01
2017-09-26 12:21:57,912653468116094976,912487929783754755,25073877,831910247811973125,Wayne  Arsenault,Summerset7,0,"@realDonaldTrump @POTUS You  are ""one sick Ticket"" to attack Sen\.John McCain \. I know who you are \.  John 8:44",0,0,http://twitter.com,,,,1,55,19,en,2017-02-15 16:57:14
2017-09-26 12:21:56,912653464219652096,912653420821139456,820988698380664833,820988698380664833,The American Public,AnswerKingTrump,0,"@realDonaldTrump @POTUS Why does this @POTUS get more leeway than any prior\, it would be one thing if… https://t\.co/ihrbadwIwv",0,0,http://twitter.com/download/android,,,,11,8,12,en,2017-01-16 13:38:53
2017-09-26 12:21:56,912653462487388161,912651215997202432,25073877,711339052541153280,Texas Man,TexasMa80834181,0,"@realDonaldTrump @POTUS just now realizing Puerto Rican’s are Americans\.  A week later\, he decided to do something\. #failure",0,0,http://twitter.com/download/iphone,"San Antonio, TX",,,109,30,14518,en,2016-03-19 23:50:20
2017-09-26 12:21:55,912653459983347712,,,25076865,Dianaliketheprincess,DianaRMaj,0,RT @TheKingCenter: Humanitarian crisis in #PuertoRico\. Search the tag\. Learn more about it\. Our neighbors are in dire need\. @POTUS https://…,8,0,http://twitter.com,,,Eastern Time (US & Canada),671,1439,84265,en,2009-03-18 14:08:15
2017-09-26 12:21:55,912653459157061632,,,793455263063957504,Arnold Ziegler,ZieglerArnold,0,RT @ColoradoGirl2A: Thank you for putting #AmericaFirst @POTUS  Keep fighting to #MAGA \\nWe stand with you\.\\n\\n#TuesdayThoughts #TuesdayMotiva…,149,0,http://twitter.com/download/iphone,Costa Rica,,,951,422,50097,en,2016-11-01 14:10:51
2017-09-26 12:21:55,912653458511196161,,,389247954,Bo Thompson,boss_major91,0,RT @NstyWmnWendy: @DonnaWR8 @realDonaldTrump @FLOTUS @POTUS I was proud of the first lady who didn't lie about her degrees or plagiarize sp…,2,0,http://twitter.com/download/iphone,"Lake Charles, La",,Central Time (US & Canada),744,958,3065,en,2011-10-12 03:04:01
2017-09-26 12:21:55,912653458234380290,912641045489262592,1367531,1240232587,SETH 🐼🐼🐼🐼🐼,JESUSEARTHRETUR,0,@FoxNews @Queen_Puabi @lutherstrange @foxandfriends @POTUS @VP Strange a typical swamp man,0,0,http://twitter.com/download/iphone,"Montana, USA",,,4038,3649,110270,en,2013-03-04 01:19:32
2017-09-26 12:21:54,912653456145567744,,,2279480828,Phyllis Wilson,flipwilson59,0,"RT @ChristieC733: ""Tremendous backlash against the NFL and its players for disrespect of our Country\."" @POTUS \\n\\n#StandForOurAnthem 🇺🇸\\n#Boyc…",781,0,http://twitter.com/#!/download/ipad,,,,320,37,43493,en,2014-01-06 19:10:07
2017-09-26 12:21:53,912653449501782016,,,818948307632304129,Sarah Anna,Rayttsunshine,0,RT @VP: Proud to deliver message from @POTUS to our 3 courageous astronauts aboard the @Space_Station\. We admire and appreciate your servic…,1148,0,http://twitter.com/download/android,The Great lakes State,,,217,277,5271,en,2017-01-10 22:31:06
2017-09-26 12:21:52,912653446758764544,912301271817838593,25073877,177845893,De-C (5th Parish),DCtwoD,0,"@realDonaldTrump @POTUS Fuck you and the Anthem\, bitch!!!",0,0,http://twitter.com/download/iphone,LOUISIANA,,Central Time (US & Canada),4767,3209,1038,en,2010-08-13 05:52:41
2017-09-26 12:21:52,912653445362053120,,154605679,315398505,Sincere The Arsonist,SincereFire,0,@DONOMAR &amp; his people need help &amp; this garbage @POTUS @realDonaldTrump ain't doing nothing!Will @Paula_White donate GOD'S MONEY to help?🔥,0,0,http://twitter.com,GOD'S HOUSE,,Eastern Time (US & Canada),1339,5001,9215,en,2011-06-11 20:10:03
2017-09-26 12:21:50,912653438697316354,,,126525185,Christopher Clay,ChrisDClay,0,Hollywood joins @NFL in kneeling to Trump now!\\n@POTUS can I learn this power? #BoycottNFL #AsThey #TakeAKnee… https://t\.co/txXYKjwzeE,0,0,http://twitter.com/download/iphone,"Pittsburgh, PA",,,448,359,1572,en,2010-03-26 04:16:19
2017-09-26 12:21:50,912653438101712897,912651886439862277,864705496955092992,994351070,Drives With Turkeys,4LoveOfTheRoad,0,"@JacksChrome @KenworthTruckCo Talk about a #KWhopper! That is one \$exy W900 c'mon\. Love the ""You're Fired"" @POTUS p… https://t\.co/BCut3L3Vel",0,0,http://twitter.com/download/android,Thumb of Michigan (Tuscola),,Eastern Time (US & Canada),1523,2919,2412,en,2012-12-07 04:27:46
2017-09-26 12:21:49,912653434578403328,,,2914893856,Being Me,tdeberry66,0,RT @tedlieu: Dear @POTUS: You may want to show some respect to our US citizens in Puerto Rico\. https://t\.co/NahVUi8R60,6696,0,http://twitter.com/download/android,,,,37,311,3776,en,2014-12-11 02:05:13
2017-09-26 12:21:48,912653428710678528,,,2151801769,newsNUMB,NewsNumb,0,"Is it just me\, or is everyone else sick and tired of Twitter manipulating trends to fit their political agendas? @POTUS #FakeTrends",0,0,http://twitter.com,United Socialist States of America,,,1036,2602,27,en,2013-10-23 22:48:14
2017-09-26 12:21:47,912653427192119297,,,4064331736,FREEDOM,JackieMcReath1,0,RT @PressSec: \.@POTUS signs STEM EO to help American kids be prepared for workforce of tomorrow\. Admin focused on creating opportunities in…,3922,0,http://twitter.com/download/android,earth,,,5442,3897,8670,en,2015-10-29 00:38:55
2017-09-26 12:21:46,912653420984750080,,822215679726100480,38235908,Frisco Cosme,frisco4u,0,@POTUS @realDonaldTrump @andersoncooper @foxnewspolitics @FoxNews WHR R U? https://t\.co/p7h8iRkvzb,0,0,http://twitter.com/download/android,NYC/LA- Triple Threat,,Eastern Time (US & Canada),461,699,460,en,2009-05-06 17:56:28
2017-09-26 12:21:46,912653420821139456,,25073877,820988698380664833,The American Public,AnswerKingTrump,0,"@realDonaldTrump is creating an environment in America where speaking the truth is NOT the best policy\,  it's time for @POTUS to be Censured",0,0,http://twitter.com/download/android,,,,11,8,12,en,2017-01-16 13:38:53
2017-09-26 12:21:46,912653419684474880,,,747531480436400128,J. Fonte,J_Fonte28,0,"RT @Merlin333: @Pierrelyahooco1 @ivery5000 @TruthEqualsFact @J_Fonte28 @therealzanetta 📝AGREED\\n\\nThat's why #SOB @potus tries to discredit ""…",1,0,http://twitter.com/download/iphone,,,,3424,4486,45682,en,2016-06-27 20:46:08
2017-09-26 12:21:45,912653415267819520,,,858968774,nadia martinez-dunn,DunnMartinez,0,"RT @SRuhle: While @potus critiques Puerto Rico's inability to repay their debts\, I wonder where his own biz would be if denied bankruptcy p…",318,0,http://twitter.com/download/iphone,,,,50,74,8979,en,2012-10-03 01:01:08
2017-09-26 12:21:44,912653414286360576,,,3004839640,Debbie King,debbieking351,0,RT @PressSec: \.@POTUS signs STEM EO to help American kids be prepared for workforce of tomorrow\. Admin focused on creating opportunities in…,3922,0,http://twitter.com/download/android,,,,240,655,9326,en,2015-01-30 02:44:09
2017-09-26 12:21:43,912653406841356289,912565386838765569,63335631,181292375,Mayor McSnark 🇺🇸,DailyPamphlet,0,@Joy_Villa @RogerJStoneJr @POTUS Nice dress\. 👍,0,0,http://sinproject.net/tweecha/,Florida,,Eastern Time (US & Canada),30228,15707,1628,en,2010-08-21 20:35:47
2017-09-26 12:21:41,912653401703567360,,,788165722228740096,Cathy Crowe,cathy_crowe7,0,"RT @SRuhle: While @potus critiques Puerto Rico's inability to repay their debts\, I wonder where his own biz would be if denied bankruptcy p…",318,0,http://twitter.com/#!/download/ipad,"Albert Lea, MN",,,367,98,65725,en,2016-10-17 23:52:06
2017-09-26 12:21:40,912653397194674177,912478884481732608,1367531,825392139160977408,Barry Lawer,brece23781,0,"@FoxNews @Nigel_Farage @POTUS What is our Judeo\- Christian culture\, the bombing of country's with mustard gas \, cre… https://t\.co/DLIc152j9g",0,0,http://www.twitter.com,,,London,9,99,337,en,2017-01-28 17:16:35
2017-09-26 12:21:39,912653393168076800,,246500501,2546186313,COACH,jernst1980,0,@GeraldoRivera calls out @POTUS for his lack of compassion for Puerto Rico!\\nDidn't see you in Florida or Texas Geraldo?\\n@foxandfriends,0,0,http://twitter.com/download/iphone,,,,4811,5199,83256,en,2014-05-14 01:01:54
2017-09-26 12:21:39,912653392195014657,,822215679726100480,3218819892,Emily Kay,snippe295_kay,0,@POTUS and YOU are tweeting about the NFL and ratings\. There is a special place in hell for you\. https://t\.co/jVnlxANUbT,0,0,http://twitter.com/download/iphone,,,,86,111,10172,en,2015-05-18 02:45:18
2017-09-26 12:21:39,912653390278250496,,,2309368293,auntjanie11,janeFar54189683,0,RT @President1Trump: Hillary Clinton is a racial demagogue &amp; she complains about @POTUS calling out the NFL players as if he's the racist h…,134,0,http://twitter.com/download/iphone,,,,106,251,4850,en,2014-01-28 08:35:44
2017-09-26 12:21:39,912653390236307457,,,4410287199,fuzz button,zordfort,0,#foxandfriends Geraldo who did the @POTUS blame for Puerto Rico being torn up he's helping Geraldo you are as bad as the kneelers,0,0,http://twitter.com/download/iphone,,,EST,224,134,13871,en,2015-12-08 00:47:40
2017-09-26 12:21:38,912653388936024064,912648226536329216,13850422,51003546,Teresa Reed,mrstreed2011,0,@CNNPolitics At some point and time we have to understand what @POTUS is doing\. This is giving him the attention he… https://t\.co/ss60wT29H2,0,0,http://twitter.com/download/android,All over the map.... ,,America/New_York,52,529,3475,en,2009-06-26 10:22:04
2017-09-26 12:21:38,912653388667609088,,,402114809,Patti Capello,mrspc48,0,"RT @SRuhle: While @potus critiques Puerto Rico's inability to repay their debts\, I wonder where his own biz would be if denied bankruptcy p…",318,0,http://twitter.com/download/android,"Germantown, WI",,Central Time (US & Canada),1887,3805,25915,en,2011-10-31 15:34:47
